!ID,,!catalog_number,!bd_catalog_number,!digital_catalog_number,!line,!post_title,!bd_audio_mix,!bd_canadian_price,!bd_configuration,!bd_consumer_srp,!bd_disc_type,!bd_dvd_features,!bd_frame_rate,!bd_isbn,!bd_prebook_date,!bd_running_time,!bd_street_date,!bd_subtitles,!bd_upc,!digital_running_time,!digital_street_date,!amazon_link,!itunes_link,!youtube_link,!hulu_link,!playstation_link,!slingbox_link,!xbox_link,!snagfilm_link,!tvcom_link,!vudu_link,!cinema_now
279,NNVG101982,NNVG101982,,NNVG9979,DOC,The Devil Came On Horseback,,,,,,,,,,,,,,85 min,,,http://click.linksynergy.com/fs-bin/stat?id=ccUl/Cc0tjI&offerid=146261&type=3&subid=0&tmpid=1826&RD_PARM1=http%253A%252F%252Fitunes.apple.com%252FWebObjects%252FMZStore.woa%252Fwa%252FviewMovie%253Fid%253D273104644%2526s%253D143441%2526uo%253D6%2526partnerId%253D30,,,,,,,,,
217,NNVG102401,NNVG102401,,NNVG8076,DOC,Operation Homecoming,,,,,,,,,,,,,,81 min,03/05/2008,,http://click.linksynergy.com/fs-bin/stat?id=ccUl/Cc0tjI&offerid=146261&type=3&subid=0&tmpid=1826&RD_PARM1=http%253A%252F%252Fitunes.apple.com%252Fus%252Fmovie%252Foperation-homecoming%252Fid275949911%253Fuo%253D4%2526partnerId%253D30,,,,,,,,,
272,NNVG108791,NNVG108791,,NNVG8078,DOC,Strange Culture,,,,,,,,,,,,,,75 min,,,http://itunes.apple.com/WebObjects/MZStore.woa/wa/viewMovie?id=276468055&s=143441,http://www.youtube.com/watch?v=cMPk9-1uifA,http://www.hulu.com/watch/107093/strange-culture,,,,,,,
75,NNVG109671,NNVG109671,,NNVG8748,DOC,Arctic Son,,,,,,,,,,,,,,75 min,09/23/2008,,http://click.linksynergy.com/fs-bin/stat?id=ccUl/Cc0tjI&offerid=146261&type=3&subid=0&tmpid=1826&RD_PARM1=http%253A%252F%252Fitunes.apple.com%252Fus%252Fmovie%252Farctic-son%252Fid288218812%253Fuo%253D4%2526partnerId%253D30,,,,,,,,,
199,NNVG111452,NNVG111452,,NNVG8575,DOC,Mumia Abu-Jamal: A Case for Reasonable Doubt?,,,,,,,,,,,,,,74 min,,,http://click.linksynergy.com/fs-bin/stat?id=ccUl/Cc0tjI&offerid=146261&type=3&subid=0&tmpid=1826&RD_PARM1=http%253A%252F%252Fitunes.apple.com%252Fus%252Fmovie%252Fmumia-abu-jamal-a-case-for%252Fid279826185%253Fuo%253D4%2526partnerId%253D30,http://www.youtube.com/watch?v=fCs35ehEJFc,,,,,,,,
91,NNVG111481,NNVG111481,,NNVG8442,DOC,Bomb It!,,,,,,,,,,,,,,93 min,,http://www.amazon.com/Bomb-It/dp/B003WF7NAA/ref=sr_1_1?ie=UTF8&s=digital-video&qid=1279828968&sr=1-1,http://click.linksynergy.com/fs-bin/stat?id=ccUl/Cc0tjI&offerid=146261&type=3&subid=0&tmpid=1826&RD_PARM1=http%253A%252F%252Fitunes.apple.com%252FWebObjects%252FMZStore.woa%252Fwa%252FviewMovie%253Fid%253D283112916%2526s%253D143441%2526uo%253D6%2526partnerId%253D30,,,,,,,,,
169,NNVG111931,NNVG111931,,NNVG1151,DOC,Inheritance,,,,,,,,,,,,,,75 min,,http://www.amazon.com/Inheritance/dp/B003LSZFUI/ref=sr_1_4?ie=UTF8&s=digital-video&qid=1277399898&sr=1-4,http://click.linksynergy.com/fs-bin/stat?id=ccUl/Cc0tjI&offerid=146261&type=3&subid=0&tmpid=1826&RD_PARM1=http%253A%252F%252Fitunes.apple.com%252FWebObjects%252FMZStore.woa%252Fwa%252FviewMovie%253Fid%253D297282784%2526s%253D143441%2526uo%253D6%2526partnerId%253D30,,,,,,,,,
106,NNVG112961,NNVG112961,,NNVG8750,DOC,Cinematographer Style,,,,,,,,,,,,,,86 min,,,http://click.linksynergy.com/fs-bin/stat?id=ccUl/Cc0tjI&offerid=146261&type=3&subid=0&tmpid=1826&RD_PARM1=http%253A%252F%252Fitunes.apple.com%252FWebObjects%252FMZStore.woa%252Fwa%252FviewMovie%253Fid%253D288084272%2526s%253D143441%2526uo%253D6%2526partnerId%253D30,,,,,,,,,
214,NNVG112970,NNVG112970,,NNVG8788,DOC,On the Downlow,,,,,,,,,,,,,,70 min,01/27/2009,,http://click.linksynergy.com/fs-bin/stat?id=ccUl/Cc0tjI&offerid=146261&type=3&subid=0&tmpid=1826&RD_PARM1=http%253A%252F%252Fitunes.apple.com%252Fus%252Fmovie%252Fon-the-downlow%252Fid287531400%253Fuo%253D4%2526partnerId%253D30,,,,,,,,,
136,NNVG113451,NNVG113451,,NNVG9943,DOC,Faster,,,,,,,,,,,,,,207 min,,,http://www.iTunes.com/Movies/Faster,,,,,,,,,
